Date,High,Low,Close,VolumeT,Volume
2017-08-30,14.8,14.1,14.1,9,20580
2017-08-31,14.8,14.3,14.3,6,1467
2017-09-04,14.9,14.7,14.9,20,1703
2017-09-06,15.3,14.6,14.7,39,59201
2017-09-07,15,15,14.7,3,50
2017-09-08,15.3,15,15.2,72,222191
2017-09-11,15.5,15.2,15.3,67,112069
2017-09-12,15.4,15,15.3,27,31672
2017-09-13,15.6,15.2,15.6,73,123107
2017-09-14,16.5,15.6,16.4,172,386076
2017-09-15,17.5,16.2,17.4,274,767272
2017-09-18,17.4,16.9,17,54,38960
2017-09-19,17.2,16.2,16.3,92,64437
2017-09-20,16.5,15.5,15.6,64,60627
2017-09-21,16,15.6,16,6,1478
2017-09-22,16,15.7,15.9,10,924
2017-09-25,16.7,16,16.7,62,53067
2017-09-26,17.1,16.4,16.5,75,119297
2017-09-27,16.9,16.2,16.4,31,47115
2017-09-28,16.7,16.2,16.3,24,26242
2017-09-29,16.6,16.4,16.5,9,6300
2017-10-02,17.5,16.5,17.3,113,125480
2017-10-03,18.4,17.5,17.9,148,195009
2017-10-04,18,17.2,18,25,37630
2017-10-06,18.2,17.5,17.9,26,25179
2017-10-09,17.6,17.2,17.3,22,21441
2017-10-10,17.5,17,17,33,29726
2017-10-11,17.2,16.8,16.9,14,5084
2017-10-12,17,16.2,16.2,34,40418
2017-10-13,16.8,16.2,16.5,14,3804
2017-10-16,16.5,16.2,16.4,5,19790
2017-10-17,17,16.1,17,5,6035
2017-10-19,16.9,16.3,16.3,10,22457
2017-10-20,16.1,16.1,16.3,3,36
2017-10-23,16.5,16,16,21,30224
2017-10-24,16.4,16.4,16.4,3,210
2017-10-25,16.5,16.2,16.2,12,11083
2017-10-26,17.6,16.4,17.2,72,144968
2017-10-27,18.6,17.3,17.7,187,278223
2017-10-30,18.9,18,18.5,102,146657
2017-10-31,18.9,18,18.6,69,117431
2017-11-01,19.5,18.8,19.1,140,269434
2017-11-02,19.2,18.2,18.5,47,38586
2017-11-06,18.3,18,18.3,7,13520
2017-11-07,19,18.2,18.5,44,42589
2017-11-08,19,18.2,18.2,15,9644
2017-11-09,18.3,17.7,17.8,75,105515
2017-11-10,17.8,17.5,17.7,30,46591
2017-11-13,18.1,17.6,17.7,37,31141
2017-11-14,17.5,16.3,16.6,32,9626
2017-11-15,17,17,17,12,13981
2017-11-16,17.2,17,17,5,3600
2017-11-17,17.3,17,17,7,5275
2017-11-20,17.4,17,17,21,12159
2017-11-21,17,16.9,16.9,3,116
2017-11-22,17,16.8,16.8,6,525
2017-11-23,16.5,16.1,16.5,16,34148
2017-11-24,16.4,15.6,15.6,50,42218
2017-11-27,16.4,15.7,15.8,45,52731
2017-11-28,15.9,15.4,15.5,21,17010
2017-11-29,15.8,15.4,15.4,20,23994
2017-11-30,15.8,15.3,15.3,13,13896
2017-12-04,16,15.4,15.5,15,2861
2017-12-05,15.8,15.3,15.7,15,4240
2017-12-06,15.9,15.3,15.4,14,1832
2017-12-07,15.9,15.4,15.6,6,2600
2017-12-08,15.8,15.7,15.8,5,2940
2017-12-11,15.6,15.3,15.4,15,8830
2017-12-12,16.7,15.4,16.2,26,17115
2017-12-13,16.6,16.5,16.2,4,7
2017-12-14,16.3,16,16.3,3,31500
2017-12-15,16.9,16.2,16.3,21,17311
2017-12-18,16,15.2,15.2,40,23589
2017-12-19,15.8,15,15.8,12,4700
2017-12-20,16.2,15.6,16,15,8407
2017-12-22,16.2,16,16.1,6,1065
2017-12-26,17.6,16.3,16.9,64,82280
2017-12-27,18,17.4,17.7,9,2150
2017-12-28,17.6,16.8,17,10,6732
2017-12-29,17,16.8,17,8,3119
2018-01-02,17.60,17.20,17.20,4,555
2018-01-03,17.20,16.80,17.20,2,47
2018-01-04,17.60,16.80,17.00,13,95510
2018-01-05,17.40,17.40,17.40,3,500
2018-01-08,17.60,16.80,17.30,14,14576
2018-01-09,17.00,16.90,16.90,5,2040
2018-01-10,16.80,16.80,16.80,2,1100
2018-01-11,16.60,16.50,16.60,12,1961
2018-01-12,16.50,16.40,16.60,6,9
2018-01-16,16.40,16.20,16.20,8,10743
2018-01-17,17.00,16.10,16.90,6,287
2018-01-18,17.30,16.70,17.10,6,700
2018-01-19,17.30,17.00,17.10,3,8
2018-01-22,17.20,16.20,17.20,3,180
2018-01-23,16.30,16.20,16.20,7,13800
2018-01-24,17.10,16.30,17.10,2,105
2018-01-26,16.80,16.30,16.40,9,2405
2018-01-29,16.30,16.30,16.40,1,1
2018-01-30,16.30,16.30,16.30,3,1645
2018-02-01,17.10,16.50,16.70,7,2300
2018-02-02,17.20,16.50,17.10,14,19524
2018-02-06,17.00,17.00,17.00,3,4090
2018-02-07,16.80,16.30,16.80,3,600
2018-02-08,17.80,16.30,17.00,25,29485
2018-02-09,18.50,17.90,18.10,124,287594
2018-02-12,18.60,17.50,17.60,27,33695
2018-02-14,18.30,17.30,18.00,20,38635
2018-02-15,18.00,17.50,17.70,19,37109
2018-02-16,18.10,18.00,18.00,6,2410
2018-02-19,18.00,17.50,17.70,4,201
2018-02-20,18.00,17.00,17.10,11,3810
2018-02-21,17.00,17.00,17.10,3,7
2018-02-22,18.50,17.80,18.00,13,26418
2018-02-23,18.30,18.00,18.00,5,510
2018-02-26,18.00,18.00,18.00,1,100
2018-02-27,17.00,17.00,17.00,3,300
2018-02-28,18.10,17.50,17.90,7,3477
2018-03-06,18.00,17.00,17.00,5,3802
2018-03-07,18.00,16.70,17.90,11,1212
2018-03-09,17.80,17.80,17.90,1,3
2018-03-12,17.80,17.50,17.60,3,1200
2018-03-13,17.50,17.50,17.50,10,15008
2018-03-14,17.60,17.30,17.60,2,200
2018-03-16,17.40,17.20,17.30,6,25050
2018-03-19,18.00,17.20,17.20,6,19209
2018-03-20,17.80,17.20,17.30,3,131
2018-03-21,17.70,17.60,17.70,5,3020
2018-03-23,17.60,17.60,17.60,1,30000
2018-03-26,17.00,17.00,17.00,7,5510
2018-03-27,16.90,16.30,16.80,12,39005
2018-03-29,16.20,15.90,16.00,26,75901
2018-04-02,17.00,16.90,17.00,5,15000
2018-04-05,16.40,16.00,16.00,23,22065
2018-04-06,16.40,16.00,16.00,7,43096
