,Date,High,Low,Close,Volume,VolumeT,Gaus
163,2015-09-16,25.0,24.6,24.6,18,18267,24.487071951862113
164,2015-09-17,25.0,24.2,24.3,9,3454,24.475979845863286
165,2015-09-18,24.3,24.2,24.3,5,4812,24.46413331947512
166,2015-09-21,24.3,24.3,24.3,2,200,24.45309116431532
167,2015-09-22,24.3,24.2,24.3,5,4812,24.444523390422056
168,2015-09-23,24.3,24.3,24.3,2,200,24.440026896868023
169,2015-09-25,24.5,24.4,24.5,4,1198,24.44092984117888
170,2015-09-28,24.5,24.5,24.5,1,100,24.44806825225249
171,2015-09-29,25.0,24.3,24.3,8,1501,24.461715754923656
172,2015-09-30,24.3,24.2,24.3,5,1960,24.48144728672492
173,2015-10-01,24.5,24.3,24.5,8,22602,24.506072201824693
174,2015-10-02,24.5,24.3,24.4,8,13753,24.533641598175457
175,2015-10-05,24.3,24.3,24.3,6,1311,24.561582991067755
176,2015-10-06,24.3,24.3,24.3,3,1600,24.586803197989422
177,2015-10-07,25.0,24.5,25.0,21,12336,24.606085279310125
178,2015-10-08,25.0,24.2,25.0,25,16600,24.61661540408154
179,2015-10-09,25.1,25.0,25.1,14,17095,24.616411348073736
180,2015-10-12,25.4,24.9,25.1,13,5771,24.604746428516915
181,2015-10-13,25.0,24.9,24.9,5,950,24.58237654438669
182,2015-10-14,24.9,24.5,24.5,7,3751,24.551636729469667
183,2015-10-15,24.5,24.5,24.5,4,4000,24.516114057810015
184,2015-10-16,24.9,24.4,24.4,2,101,24.480071413957585
185,2015-10-19,24.6,24.3,24.3,8,4500,24.44790859901766
186,2015-10-20,24.5,24.1,24.1,13,29249,24.42340664626164
187,2015-10-22,24.1,24.1,24.1,3,12,24.409080249495876
188,2015-10-23,24.1,23.9,24.0,13,28963,24.405922144546675
189,2015-10-26,23.5,23.5,23.5,5,1600,24.413248837893228
190,2015-10-28,24.5,23.5,24.3,37,32827,24.428924036601526
191,2015-10-29,25.3,24.5,25.0,57,83103,24.449840620320053
192,2015-10-30,25.3,25.0,25.3,12,2549,24.472503644916117
193,2015-11-03,24.5,24.0,24.2,4,950,24.493628971768945
194,2015-11-04,25.0,23.0,24.9,14,46600,24.51056773836701
195,2015-11-05,25.0,24.9,24.9,5,3600,24.521653245658616
196,2015-11-06,25.0,24.0,24.0,16,57616,24.526148239098227
197,2015-11-09,24.5,24.0,24.3,7,4200,24.524085680065006
198,2015-11-11,25.0,24.1,25.0,26,9440,24.515964288027195
199,2015-11-12,25.0,24.5,25.0,9,4600,24.502321567672656
200,2015-11-13,24.5,24.1,24.1,4,1000,24.48346813683229
201,2015-11-16,24.1,24.1,24.1,5,2500,24.459169829537217
202,2015-11-18,24.8,23.8,24.8,12,5001,24.428554500724008
203,2015-11-19,24.4,24.0,24.0,4,642,24.390097904161774
204,2015-11-20,25.3,24.3,24.5,44,33773,24.341827557086884
205,2015-11-23,25.2,24.9,25.2,27,11182,24.28164413949072
206,2015-11-24,24.1,24.1,24.1,2,100,24.207679418881266
207,2015-11-26,24.2,24.2,24.2,1,100,24.118747344291492
208,2015-11-27,24.5,24.2,24.5,6,4504,24.014756539622038
209,2015-11-30,24.5,24.1,24.2,4,311,23.897019444712388
210,2015-12-01,24.4,24.0,24.0,4,4300,23.768202529532463
211,2015-12-02,24.4,24.0,24.0,10,4360,23.63233099298631
212,2015-12-03,23.3,23.3,24.0,1,10,23.494456021082794
213,2015-12-04,24.0,22.5,22.5,5,5330,23.360118674880326
214,2015-12-07,23.7,22.5,22.5,18,6600,23.234713131531194
215,2015-12-08,23.5,22.5,22.6,19,4076,23.123051029631906
216,2015-12-09,23.1,23.0,23.0,2,210,23.028815498628862
217,2015-12-10,23.3,23.0,23.0,8,3025,22.954386782265157
218,2015-12-11,23.0,22.2,22.3,4,1994,22.900681174223443
219,2015-12-14,22.9,22.3,22.5,9,2635,22.867226145414396
220,2015-12-15,22.9,22.5,22.5,3,15,22.85244205710452
221,2015-12-16,22.9,22.5,22.9,2,501,22.853593814663217
222,2015-12-18,23.0,23.0,23.0,9,2000,22.86711306188663
223,2015-12-21,23.0,22.7,22.7,25,25323,22.88865613876138
224,2015-12-22,23.0,23.0,23.0,3,540,22.91312457018855
225,2015-12-23,23.0,22.8,22.8,7,3304,22.934818126249077
226,2015-12-28,23.0,22.5,22.5,11,4680,22.947707653603207
227,2015-12-29,22.7,22.5,22.6,11,1335,22.945701117317398
228,2015-12-30,24.9,22.6,24.3,10,10751,22.923181271053775
229,2015-12-31,24.8,24.3,24.3,16,17434,22.875487756573236
230,2016-01-04,23.3,23.2,23.2,4,5200,22.799349128625252
231,2016-01-05,24.6,22.9,22.9,22,11243,22.693231641729824
232,2016-01-06,22.9,22.6,22.7,15,5977,22.55751165907842
233,2016-01-07,22.6,22.6,22.7,2,6,22.394425252015296
234,2016-01-08,23.4,22.6,22.6,17,3119,22.20785484803934
235,2016-01-11,22.5,21.0,21.4,29,17975,22.00312855236632
236,2016-01-12,22.6,22.5,22.6,3,2281,21.786597185025936
237,2016-01-13,23.0,21.0,22.6,2,51,21.56523708877799
238,2016-01-14,21.0,20.0,20.5,9,6300,21.346131486145136
239,2016-01-18,23.5,21.0,21.0,7,4695,21.13591829377525
240,2016-01-19,20.5,20.0,20.0,9,1202,20.940331482188622
241,2016-01-20,20.1,19.9,19.9,27,33329,20.763711834734615
